"Name","Sweep","best_eval_top1","Runtime","State","Created","unc-module","best_test_avg_downstream_auroc_correct","best_test_avg_downstream_r1","best_test_avg_downstream_croppedHasBiggerUnc","best_eval_avg_downstream_auroc_correct","best_eval_avg_downstream_croppedHasBiggerUnc","best_eval_avg_downstream_r1","eval_avg_downstream_auroc_correct","eval_avg_downstream_croppedHasBiggerUnc","eval_avg_downstream_r1","best_furthertest_avg_downstream_auroc_correct","best_furthertest_avg_downstream_croppedHasBiggerUnc","best_furthertest_avg_downstream_r1","best_furthertest_avg_downstream_rcorr_entropy","furthertest_avg_downstream_auroc_correct","furthertest_avg_downstream_croppedHasBiggerUnc","furthertest_avg_downstream_r1","furthertest_avg_downstream_rcorr_entropy","best_eval_croppedHasBiggerUnc","best_eval_auroc_correct","model","lr","loss","num-heads","best_eval_r1"
"distinctive-sweep-10","var4i74r","0.26","132242","finished","2023-06-30T12:45:34.000Z","class-entropy","0.5407000000000001","0.13570000000000002","0.3069","0.5370333333333334","0.3002","0.13636666666666666","0.5370333333333334","0.3002","0.13636666666666666","0.52482","0.32264","0.47556","0.01878","","","","","0.2777","0.5531","vit_medium_patch16_gap_256dropout","0.014258311440949871","cross-entropy","","0.0294"
"comfy-sweep-10","dwm85pkc","53.552","24827","failed","2023-06-30T12:45:30.000Z","class-entropy","0.5204333333333334","0.4143666666666667","0.7204333333333333","0.5409666666666667","0.7327666666666666","0.4281333333333333","0.5063666666666667","0.6907333333333333","0.39536666666666664","0.5264200000000001","0.71272","0.6610400000000001","0.043199999999999995","","","","","0.7447","0.7477","vit_medium_patch16_gap_256","0.013985925924348856","cross-entropy","10","0.4882"
"lucky-sweep-9","var4i74r","69.238","137096","finished","2023-06-30T12:45:21.000Z","class-entropy","0.5048333333333334","0.5120333333333332","0.6126666666666666","0.5342000000000001","0.6202666666666666","0.49816666666666665","0.528","0.4123666666666667","0.1403","0.52424","0.7071400000000001","0.6878","0.039900000000000005","","","","","0.713","0.7667","vit_medium_patch16_gap_256dropout","0.02294228032056795","cross-entropy","","0.6585"
"vivid-sweep-9","dwm85pkc","51.494","25584","failed","2023-06-30T12:45:21.000Z","jsd","0.5107","0.4213","0.35403333333333337","0.5159999999999999","0.35333333333333333","0.4256666666666667","0.5159999999999999","0.35333333333333333","0.4256666666666667","0.46258","0.26242","0.66066","-0.05828","","","","","0.3727","0.5441","vit_medium_patch16_gap_256","0.012368825661107776","cross-entropy","10","0.4587"
"true-sweep-10","23nykvto","80.134","131541","finished","2023-06-30T12:45:05.000Z","pred-net","0.49899999999999994","0.5463666666666667","0.48946666666666666","0.5052666666666666","0.5147333333333334","0.5294333333333333","0.5012","0.3275666666666667","0.5296","0.51152","0.4005800000000001","0.7152200000000001","0.003939999999999999","","","","","0.5125","0.4835","vit_medium_patch16_gap_256","0.0025406785103803883","nivmf","","0.771"
"giddy-sweep-9","23nykvto","82.612","125672","finished","2023-06-30T12:44:35.000Z","pred-net","0.5417666666666666","0.5646333333333334","0.5207999999999999","0.5134","0.5124333333333334","0.5346","0.5","0.004033333333333333","0.5325000000000001","0.4716","0.46918","0.72786","-0.07118","","","","","0.4424","0.4704","vit_medium_patch16_gap_256","0.0010539530340409357","nivmf","","0.7849"
"curious-sweep-8","var4i74r","60.972","121535","finished","2023-06-26T09:25:40.000Z","class-entropy","0.5172","0.4488","0.7579333333333333","0.5347333333333334","0.7576666666666666","0.4475","0.4860333333333333","0.5679333333333334","0.047933333333333335","0.51608","0.7346400000000001","0.6816800000000001","0.02616","","","","","0.7363","0.7841","vit_medium_patch16_gap_256dropout","0.009095284612752502","cross-entropy","","0.5415"
"copper-sweep-7","var4i74r","69.596","123232","finished","2023-06-26T09:25:39.000Z","class-entropy","0.5135","0.4937","0.707","0.5334666666666666","0.7233333333333333","0.486","0.5197333333333333","0.6503","0.5169666666666667","0.49794","0.6912999999999999","0.70656","0.0054199999999999995","","","","","0.7194","0.7814","vit_medium_patch16_gap_256dropout","0.00607280691663735","cross-entropy","","0.6405"
"laced-sweep-8","dwm85pkc","69.97","30542","failed","2023-06-26T09:25:35.000Z","jsd","0.5298999999999999","0.45416666666666666","0.42273333333333335","0.5237666666666666","0.45259999999999995","0.4591","0.4784333333333333","0.4441","0.4372","0.5186000000000001","0.2914","0.6838200000000001","0.02472","","","","","0.4224","0.5674","vit_medium_patch16_gap_256","0.01151409431467413","cross-entropy","10","0.6736"
"noble-sweep-6","var4i74r","53.79","121810","finished","2023-06-26T09:25:20.000Z","class-entropy","0.5280333333333332","0.4324333333333333","0.6988666666666666","0.5463","0.7205333333333334","0.4354666666666666","0.5","0","0.007133333333333333","0.5478400000000001","0.74024","0.66516","0.05746","","","","","0.7232","0.7809","vit_medium_patch16_gap_256dropout","0.01306659692225885","cross-entropy","","0.4791"
