"Name","Sweep","Runtime","State","Created","best_eval_top1","unc-module","n_few_shot","dataset","loss","model","lr","num-heads","initial-checkpoint","best_test_avg_downstream_auroc_correct","best_test_avg_downstream_auroc_correct_mixed","best_test_avg_downstream_auroc_ood","best_furthertest_avg_downstream_auroc_correct","best_test_avg_downstream_r1","best_furthertest_avg_downstream_r1","best_test_avg_downstream_croppedHasBiggerUnc","best_furthertest_avg_downstream_croppedHasBiggerUnc","best_eval_avg_downstream_auroc_correct","best_eval_avg_downstream_auroc_correct_mixed","best_eval_avg_downstream_auroc_ood","best_eval_avg_downstream_croppedHasBiggerUnc","best_eval_avg_downstream_r1","eval_avg_downstream_auroc_correct","eval_avg_downstream_croppedHasBiggerUnc","eval_avg_downstream_r1","best_eval_auroc_correct","best_eval_r1","eval_time_per_sample"
"distinctive-sweep-27","godeg2dk","65338","finished","2023-08-16T03:19:15.000Z","0.0108","class-entropy","5","repr/sop","cross-entropy","vit_medium_patch16_gap_256sngp","0.0001486933067804136","","/host/mnt/lustre/kasneci/mkirchhof44/projects/large/output/train/20230522-111926269503-vit_medium_patch16_gap_256sngp-256/checkpoint-2.pth.tar","0.5625","0.5922965407371521","0.5","","0.1003","","0.5343","","","","","","","","","","0.5625","0.1003","0.31437914992348154"
"vague-sweep-26","godeg2dk","53128","finished","2023-08-16T03:04:50.000Z","0","class-entropy","2","repr/sop","cross-entropy","vit_medium_patch16_gap_256sngp","0.0001486933067804136","","/host/mnt/lustre/kasneci/mkirchhof44/projects/large/output/train/20230522-111926269503-vit_medium_patch16_gap_256sngp-256/checkpoint-2.pth.tar","0.566","0.4986591637134552","0.5","","0.0296","","0.5439","","","","","","","","","","0.566","0.0296","0.3292845847859601"
"crisp-sweep-25","godeg2dk","45104","finished","2023-08-16T03:03:00.000Z","0.0215","class-entropy","1","repr/sop","cross-entropy","vit_medium_patch16_gap_256sngp","0.0001486933067804136","","/host/mnt/lustre/kasneci/mkirchhof44/projects/large/output/train/20230522-111926269503-vit_medium_patch16_gap_256sngp-256/checkpoint-2.pth.tar","0.5516","0.5022305846214294","0.5","","0.1949","","0.7392","","","","","","","","","","0.5516","0.1949","0.3292532676067491"
"dutiful-sweep-24","godeg2dk","13561","finished","2023-08-16T02:51:47.000Z","0.9161","class-entropy","10","repr/cars","cross-entropy","vit_medium_patch16_gap_256sngp","0.0001486933067804136","","/host/mnt/lustre/kasneci/mkirchhof44/projects/large/output/train/20230517-110251988515-vit_medium_patch16_gap_256sngp-256/checkpoint-2.pth.tar","0.5727","0.5000125765800476","0.5","","0.0498","","0.4459","","","","","","","","","","0.5727","0.0498","0.8275215638749344"
"swift-sweep-23","godeg2dk","12012","finished","2023-08-16T02:43:31.000Z","0.9656","class-entropy","5","repr/cars","cross-entropy","vit_medium_patch16_gap_256sngp","0.0001486933067804136","","/host/mnt/lustre/kasneci/mkirchhof44/projects/large/output/train/20230517-110251988515-vit_medium_patch16_gap_256sngp-256/checkpoint-2.pth.tar","0.5329","0.50031977891922","0.5","","0.1196","","0.4771","","","","","","","","","","0.5329","0.1196","0.8016164037194928"
"glad-sweep-8","xj7hbxe7","11335","finished","2023-08-16T02:26:14.000Z","1.4228","pred-net","10","repr/cub","mcinfonce","resnet50","0.000011921026128622955","","/host/mnt/qb/work/kasneci/mkirchhof44/projects/large/output/train/20230522-102915224259-resnet50-224/checkpoint-1.pth.tar","0.6257","0.4999999701976776","0.5","","0.3259","","0.622","","","","","","","","","","0.6257","0.3259","0.5983586459948118"
"lyric-sweep-7","xj7hbxe7","9157","finished","2023-08-16T02:23:38.000Z","1.4228","pred-net","5","repr/cub","mcinfonce","resnet50","0.000011921026128622955","","/host/mnt/qb/work/kasneci/mkirchhof44/projects/large/output/train/20230522-102915224259-resnet50-224/checkpoint-1.pth.tar","0.6331","0.5","0.4999999403953552","","0.3262","","0.6125","","","","","","","","","","0.6331","0.3262","0.6037810934268362"
"winter-sweep-22","godeg2dk","11403","finished","2023-08-16T02:21:13.000Z","2.3521","class-entropy","2","repr/cars","cross-entropy","vit_medium_patch16_gap_256sngp","0.0001486933067804136","","/host/mnt/lustre/kasneci/mkirchhof44/projects/large/output/train/20230517-110251988515-vit_medium_patch16_gap_256sngp-256/checkpoint-2.pth.tar","0.5304","0.4997924566268921","0.5","","0.2956","","0.5937","","","","","","","","","","0.5304","0.2956","0.8082317497270418"
"dutiful-sweep-21","godeg2dk","10827","finished","2023-08-16T02:14:09.000Z","0.7428","class-entropy","1","repr/cars","cross-entropy","vit_medium_patch16_gap_256sngp","0.0001486933067804136","","/host/mnt/lustre/kasneci/mkirchhof44/projects/large/output/train/20230517-110251988515-vit_medium_patch16_gap_256sngp-256/checkpoint-2.pth.tar","0.5221","0.49988853931427","0.5","","0.2327","","0.5011","","","","","","","","","","0.5221","0.2327","0.8046519138282348"
"fiery-sweep-20","godeg2dk","13020","finished","2023-08-16T02:09:07.000Z","1.2379","class-entropy","10","repr/cars","cross-entropy","vit_medium_patch16_gap_256sngp","0.0001486933067804136","","/host/mnt/lustre/kasneci/mkirchhof44/projects/large/output/train/20230522-111926269962-vit_medium_patch16_gap_256sngp-256/checkpoint-2.pth.tar","0.5451","0.4997421801090241","0.5","","0.0562","","0.5487","","","","","","","","","","0.5451","0.0562","0.8085667595883412"
"morning-sweep-19","godeg2dk","11766","finished","2023-08-16T02:06:33.000Z","1.1884","class-entropy","5","repr/cars","cross-entropy","vit_medium_patch16_gap_256sngp","0.0001486933067804136","","/host/mnt/lustre/kasneci/mkirchhof44/projects/large/output/train/20230522-111926269962-vit_medium_patch16_gap_256sngp-256/checkpoint-2.pth.tar","0.5393","0.5001588463783264","0.5","","0.1253","","0.4895","","","","","","","","","","0.5393","0.1253","0.8111369340069726"
"electric-sweep-18","godeg2dk","11773","finished","2023-08-16T02:05:00.000Z","1.0399","class-entropy","2","repr/cars","cross-entropy","vit_medium_patch16_gap_256sngp","0.0001486933067804136","","/host/mnt/lustre/kasneci/mkirchhof44/projects/large/output/train/20230522-111926269962-vit_medium_patch16_gap_256sngp-256/checkpoint-2.pth.tar","0.5571","0.5001794695854187","0.5","","0.0441","","0.512","","","","","","","","","","0.5571","0.0441","0.8324753794229748"
"glad-sweep-17","godeg2dk","11035","finished","2023-08-16T02:03:36.000Z","1.0151","class-entropy","1","repr/cars","cross-entropy","vit_medium_patch16_gap_256sngp","0.0001486933067804136","","/host/mnt/lustre/kasneci/mkirchhof44/projects/large/output/train/20230522-111926269962-vit_medium_patch16_gap_256sngp-256/checkpoint-2.pth.tar","0.5208","0.49985775351524353","0.5","","0.2426","","0.4957","","","","","","","","","","0.5208","0.2426","0.8106841166204201"
"zany-sweep-16","godeg2dk","13142","finished","2023-08-16T02:01:16.000Z","0.8666","class-entropy","10","repr/cars","cross-entropy","vit_medium_patch16_gap_256sngp","0.0001486933067804136","","/host/mnt/lustre/kasneci/mkirchhof44/projects/large/output/train/20230522-111926269503-vit_medium_patch16_gap_256sngp-256/checkpoint-2.pth.tar","0.567","0.49971339106559753","0.4999999701976776","","0.0413","","0.4746","","","","","","","","","","0.567","0.0413","0.8148422518057468"
"dashing-sweep-15","godeg2dk","12944","finished","2023-08-16T01:59:23.000Z","1.436","class-entropy","5","repr/cars","cross-entropy","vit_medium_patch16_gap_256sngp","0.0001486933067804136","","/host/mnt/lustre/kasneci/mkirchhof44/projects/large/output/train/20230522-111926269503-vit_medium_patch16_gap_256sngp-256/checkpoint-2.pth.tar","0.6324","0.5001647472381592","0.5000000596046448","","0.0921","","0.5957","","","","","","","","","","0.6324","0.0921","0.8640761413205877"
"resilient-sweep-14","godeg2dk","40","failed","2023-08-16T01:58:31.000Z","","class-entropy","2","repr/cars","cross-entropy","vit_medium_patch16_gap_256sngp","0.0001486933067804136","","/host/mnt/lustre/kasneci/mkirchhof44/projects/large/output/train/20230522-111926269503-vit_medium_patch16_gap_256sngp-256/checkpoint-2.pth.tar","","","","","","","","","","","","","","","","","","",""
"serene-sweep-6","xj7hbxe7","8110","finished","2023-08-16T01:58:23.000Z","1.355","pred-net","2","repr/cub","mcinfonce","resnet50","0.000011921026128622955","","/host/mnt/qb/work/kasneci/mkirchhof44/projects/large/output/train/20230522-102915224259-resnet50-224/checkpoint-1.pth.tar","0.6328","0.5","0.5","","0.3113","","0.6016","","","","","","","","","","0.6328","0.3113","0.6002463939067147"
"robust-sweep-5","xj7hbxe7","7797","finished","2023-08-16T01:55:28.000Z","1.4905","pred-net","1","repr/cub","mcinfonce","resnet50","0.000011921026128622955","","/host/mnt/qb/work/kasneci/mkirchhof44/projects/large/output/train/20230522-102915224259-resnet50-224/checkpoint-1.pth.tar","0.6319","0.5","0.5","","0.315","","0.6033","","","","","","","","","","0.6319","0.315","0.646405838369354"
"spring-sweep-13","godeg2dk","11176","finished","2023-08-16T01:55:19.000Z","1.1141","class-entropy","1","repr/cars","cross-entropy","vit_medium_patch16_gap_256sngp","0.0001486933067804136","","/host/mnt/lustre/kasneci/mkirchhof44/projects/large/output/train/20230522-111926269503-vit_medium_patch16_gap_256sngp-256/checkpoint-2.pth.tar","0.5262","0.5002346038818359","0.5","","0.277","","0.5011","","","","","","","","","","0.5262","0.277","0.8036133964984362"
"true-sweep-4","xj7hbxe7","11407","finished","2023-08-16T01:54:52.000Z","1.1856","pred-net","10","repr/cub","mcinfonce","resnet50","0.000011921026128622955","","/host/mnt/qb/work/kasneci/mkirchhof44/projects/large/output/train/20230522-102914532252-resnet50-224/checkpoint-1.pth.tar","0.6278","0.5","0.5","","0.2825","","0.5014","","","","","","","","","","0.6278","0.2825","0.6086367300855435"
"avid-sweep-12","godeg2dk","5813","finished","2023-08-16T01:52:48.000Z","0.7114","class-entropy","10","repr/cub","cross-entropy","vit_medium_patch16_gap_256sngp","0.0001486933067804136","","/host/mnt/lustre/kasneci/mkirchhof44/projects/large/output/train/20230517-110251988515-vit_medium_patch16_gap_256sngp-256/checkpoint-2.pth.tar","0.5883","0.4999999701976776","0.5","","0.0359","","0.3262","","","","","","","","","","0.5883","0.0359","0.43607857815295376"
